ticker,name,weight,country,sector
LPLA,LPL FINANCIAL HOLDINGS INC,0.004857263,US,Financials
ZI,ZOOMINFO TECHNOLOGIES INC,0.004139854,US,Telecommunication Services
EQT,EQT CORP,0.003698918,US,Energy
OVV,OVINTIV INC,0.003313711,US,Energy
FHN,FIRST HORIZON CORP,0.003275404,US,Financials
BLDR,BUILDERS FIRSTSOURCE INC,0.003171382,US,Industrials
LSI,LIFE STORAGE INC,0.003046141,US,Real Estate
AR,ANTERO RESOURCES CORP,0.003043447,US,Energy
FCNCA,FIRST CITIZENS BANCSHARES INC CLAS,0.003035172,US,Financials
REXR,REXFORD INDUSTRIAL REALTY REIT INC,0.002978101,US,Real Estate
CHK,CHESAPEAKE ENERGY CORP,0.002914298,US,Energy
WOLF,WOLFSPEED INC,0.002906289,US,Information Technology
ACM,AECOM,0.002886454,US,Industrials
SWAV,SHOCKWAVE MEDICAL INC,0.002752812,US,Health Care
UTHR,UNITED THERAPEUTICS CORP,0.002663356,US,Health Care
RRX,REGAL REXNORD CORP,0.002608659,US,Industrials
AA,ALCOA CORP,0.002599413,US,Materials
MANH,MANHATTAN ASSOCIATES INC,0.00259371,US,Information Technology
WSC,WILLSCOT MOBILE MINI HOLDINGS CORP,0.002550711,US,Industrials
BHVN,BIOHAVEN PHARMACEUTICAL HOLDING CO,0.002480275,US,Health Care
BJ,BJS WHOLESALE CLUB HOLDINGS INC,0.00247829,US,Consumer Staples
WAL,WESTERN ALLIANCE,0.002477084,US,Financials
KNX,KNIGHT-SWIFT TRANSPORTATION HOLDIN,0.002472442,US,Industrials
WBS,WEBSTER FINANCIAL CORP,0.002369509,US,Financials
WMS,ADVANCED DRAINAGE SYSTEMS INC,0.002301572,US,Industrials
LSCC,LATTICE SEMICONDUCTOR CORP,0.002300392,US,Information Technology
RRC,RANGE RESOURCES CORP,0.002300074,US,Energy
PSTG,PURE STORAGE INC CLASS A,0.002250245,US,Information Technology
MAT,MATTEL INC,0.002226071,US,Consumer Discretionary
SWN,SOUTHWESTERN ENERGY,0.002221055,US,Energy
PFGC,PERFORMANCE FOOD GROUP,0.002191565,US,Consumer Staples
NXST,NEXSTAR MEDIA GROUP INC,0.002165667,US,Telecommunication Services
OLN,OLIN CORP,0.00214362,US,Materials
TTEK,TETRA TECH INC,0.002133476,US,Industrials
LAD,LITHIA MOTORS INC,0.002131851,US,Consumer Discretionary
TW,TRADEWEB MARKETS INC CLASS A,0.002120738,US,Financials
UNM,UNUM,0.002100003,US,Financials
CASY,CASEYS GENERAL STORES INC,0.002097034,US,Consumer Staples
CPRI,CAPRI HOLDINGS LTD,0.002093167,GB,Consumer Discretionary
DINO,HF SINCLAIR CORP,0.002013535,US,Energy
HRB,H&R BLOCK INC,0.002010134,US,Consumer Discretionary
ROLL,RBC BEARINGS INC,0.001993914,US,Industrials
CHDN,CHURCHILL DOWNS INC,0.001979166,US,Consumer Discretionary
GTLS,CHART INDUSTRIES INC,0.001978283,US,Industrials
EGP,EASTGROUP PROPERTIES REIT INC,0.001973521,US,Real Estate
ACHC,ACADIA HEALTHCARE COMPANY INC,0.001962932,US,Health Care
RUN,SUNRUN INC,0.001955896,US,Industrials
KBR,KBR INC,0.001952758,US,Industrials
FR,FIRST INDUSTRIAL REALTY TRUST INC,0.001946665,US,Real Estate
BRX,BRIXMOR PROPERTY GROUP REIT INC,0.00192456,US,Real Estate
PB,PROSPERITY BANCSHARES INC,0.001893703,US,Financials
IIVI,II VI INC,0.001867701,US,Information Technology
ITT,ITT INC,0.001845847,US,Industrials
THC,TENET HEALTHCARE CORP,0.001842358,US,Health Care
SF,STIFEL FINANCIAL CORP,0.001832042,US,Financials
NOV,NOV INC,0.001823309,US,Energy
KRTX,KARUNA THERAPEUTICS INC,0.001796916,US,Health Care
BLD,TOPBUILD CORP,0.00178245,US,Consumer Discretionary
PNFP,PINNACLE FINANCIAL PARTNERS INC,0.001774815,US,Financials
PLNT,PLANET FITNESS INC CLASS A,0.001773997,US,Consumer Discretionary
GPK,GRAPHIC PACKAGING HOLDING,0.00177099,US,Materials
NVST,ENVISTA HOLDINGS CORP,0.001767249,US,Health Care
CAR,AVIS BUDGET GROUP INC,0.001762112,US,Industrials
MUSA,MURPHY USA INC,0.001759837,US,Consumer Discretionary
CACI,CACI INTERNATIONAL INC CLASS A,0.001751968,US,Industrials
NFG,NATIONAL FUEL GAS,0.001751932,US,Utilities
DBX,DROPBOX INC CLASS A,0.001744189,US,Information Technology
DKS,DICKS SPORTING INC,0.001738016,US,Consumer Discretionary
BC,BRUNSWICK CORP,0.00173373,US,Consumer Discretionary
MKSI,MKS INSTRUMENTS INC,0.001726894,US,Information Technology
SSB,SOUTHSTATE CORP,0.0017246,US,Financials
MDU,MDU RESOURCES GROUP INC,0.001724528,US,Industrials
X,US STEEL CORP,0.00171996,US,Materials
TXRH,TEXAS ROADHOUSE INC,0.001719144,US,Consumer Discretionary
SNV,SYNOVUS FINANCIAL CORP,0.001702075,US,Financials
WCC,WESCO INTERNATIONAL INC,0.001699234,US,Industrials
FAF,FIRST AMERICAN FINANCIAL CORP,0.001688338,US,Financials
VAC,MARRIOTT VACATIONS WORLDWIDE CORP,0.001685174,US,Consumer Discretionary
SITE,SITEONE LANDSCAPE SUPPLY INC,0.001681026,US,Industrials
MTDR,MATADOR RESOURCES,0.001675848,US,Energy
INGR,INGREDION INC,0.001675525,US,Consumer Staples
SAIA,SAIA INC,0.001672806,US,Industrials
STAG,STAG INDUSTRIAL REIT INC,0.001669709,US,Real Estate
IONS,IONIS PHARMACEUTICALS INC,0.001667171,US,Health Care
BPOP,POPULAR INC,0.001666366,PR,Financials
EME,EMCOR GROUP INC,0.00165955,US,Industrials
CHNG,CHANGE HEALTHCARE INC,0.001658864,US,Health Care
EXEL,EXELIXIS INC,0.001658492,US,Health Care
APLS,APELLIS PHARMACEUTICALS INC,0.001643288,US,Health Care
LITE,LUMENTUM HOLDINGS INC,0.001639612,US,Information Technology
LFUS,LITTELFUSE INC,0.001639376,US,Information Technology
NVT,NVENT ELECTRIC PLC,0.001638667,GB,Industrials
HUN,HUNTSMAN CORP,0.00163778,US,Materials
HALO,HALOZYME THERAPEUTICS INC,0.001628127,US,Health Care
KNSL,KINSALE CAPITAL GROUP INC,0.001624843,US,Financials
VMI,VALMONT INDS INC,0.001618595,US,Industrials
PENN,PENN ENTERTAINMENT INC,0.001612178,US,Consumer Discretionary
GBCI,GLACIER BANCORP INC,0.001612036,US,Financials
FFIN,FIRST FINANCIAL BANKSHARES INC,0.001609328,US,Financials
ADC,AGREE REALTY REIT CORP,0.001597502,US,Real Estate
M,MACYS INC,0.001593604,US,Consumer Discretionary
SRC,SPIRIT REALTY CAPITAL REIT INC,0.001589622,US,Real Estate
INSP,INSPIRE MEDICAL SYSTEMS INC,0.001574837,US,Health Care
LSTR,LANDSTAR SYSTEM INC,0.001571335,US,Industrials
CLH,CLEAN HARBORS INC,0.001568003,US,Industrials
IRDM,IRIDIUM COMMUNICATIONS INC,0.001565693,US,Telecommunication Services
EXLS,EXLSERVICE HOLDINGS INC,0.001558135,US,Information Technology
PDCE,PDC ENERGY INC,0.00155289,US,Energy
OSK,OSHKOSH CORP,0.001552068,US,Industrials
IDA,IDACORP INC,0.001543676,US,Utilities
CC,CHEMOURS,0.001542792,US,Materials
FYBR,FRONTIER COMMUNICATIONS PARENT INC,0.001533553,US,Telecommunication Services
IBKR,INTERACTIVE BROKERS GROUP INC CLAS,0.001525518,US,Financials
FCN,FTI CONSULTING INC,0.001522978,US,Industrials
CW,CURTISS WRIGHT CORP,0.001519601,US,Industrials
SYNA,SYNAPTICS INC,0.001516352,US,Information Technology
LNTH,LANTHEUS HOLDINGS INC,0.001516298,US,Health Care
UFPI,UFP INDUSTRIES INC,0.001504721,US,Industrials
PRGO,PERRIGO PLC,0.001493032,IE,Health Care
NOVT,NOVANTA INC,0.00149127,US,Information Technology
SKX,SKECHERS USA INC CLASS A,0.001484051,US,Consumer Discretionary
FLO,FLOWERS FOODS INC,0.001480444,US,Consumer Staples
LNW,LIGHT WONDER INC,0.001478955,US,Consumer Discretionary
DTM,DT MIDSTREAM INC,0.001472019,US,Energy
NATI,NATIONAL INSTRUMENTS CORP,0.001471245,US,Information Technology
RYN,RAYONIER REIT INC,0.001468292,US,Real Estate
UBSI,UNITED BANKSHARES INC,0.001465067,US,Financials
